City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vanimo,PG,2021-01-11 01:11:55,-2.6741,141.3028,84.58,70,100,2.95
1,Sao Filipe,CV,2021-01-11 01:06:54,14.8961,-24.4956,70.86,71,100,17.76
2,Tiksi,RU,2021-01-11 01:11:44,71.6872,128.8694,-20.56,85,100,17.34
3,Erechim,BR,2021-01-11 01:20:17,-27.6342,-52.2739,78.8,78,20,4.61
4,Khowst,AF,2021-01-11 01:20:17,33.3833,69.8833,39.13,35,0,4.97
5,Saginaw,US,2021-01-11 01:15:43,43.3334,-84.0333,28.99,86,90,3.44
6,Vila Franca Do Campo,PT,2021-01-11 01:11:40,37.7167,-25.4333,55.4,94,75,10.36
7,Comodoro Rivadavia,AR,2021-01-11 01:07:14,-45.8667,-67.5,62.6,25,20,23.02
8,Denpasar,ID,2021-01-11 01:20:13,-8.65,115.2167,82.4,83,40,2.3
9,Tasiilaq,GL,2021-01-11 01:11:41,65.6145,-37.6368,19.4,58,90,1.14
10,Arraial Do Cabo,BR,2021-01-11 01:11:42,-22.9661,-42.0278,76.87,90,3,16.78
11,Punta Arenas,CL,2021-01-11 01:06:50,-53.15,-70.9167,46.4,66,90,11.5
12,Lerwick,GB,2021-01-11 01:20:18,60.1545,-1.1494,35.6,93,90,2.3
13,Rikitea,PF,2021-01-11 01:11:35,-23.1203,-134.9692,78.35,78,38,16.4
14,Hilo,US,2021-01-11 01:11:37,19.7297,-155.09,82.4,54,1,10.36
15,Albany,US,2021-01-11 01:11:36,42.6001,-73.9662,19.99,93,20,3.44
16,Barrow,US,2021-01-11 01:11:36,71.2906,-156.7887,5.0,78,90,5.75
17,Tuktoyaktuk,CA,2021-01-11 01:11:42,69.4541,-133.0374,1.4,85,75,11.5
18,Guane,CU,2021-01-11 01:20:18,22.2025,-84.0875,62.74,80,0,6.58
19,Faanui,PF,2021-01-11 01:11:56,-16.4833,-151.75,80.71,74,100,16.42
20,Victoria,HK,2021-01-11 01:08:05,22.2855,114.1577,51.01,48,100,1.99
21,Busselton,AU,2021-01-11 01:11:36,-33.65,115.3333,66.0,59,4,1.99
22,Berlevag,NO,2021-01-11 01:11:47,70.8578,29.0864,13.59,94,52,22.5
23,Avarua,CK,2021-01-11 01:11:38,-21.2078,-159.775,84.2,74,40,13.8
24,Port Lincoln,AU,2021-01-11 01:11:41,-34.7333,135.8667,83.44,31,100,19.48
25,Mahebourg,MU,2021-01-11 01:11:38,-20.4081,57.7,78.8,94,75,4.61
26,Derzhavinsk,KZ,2021-01-11 01:20:18,51.1,66.3167,15.42,95,100,16.78
27,Nakamura,JP,2021-01-11 01:20:18,32.9833,132.9333,40.66,65,100,3.58
28,Tevaitoa,PF,2021-01-11 01:20:19,-16.7833,-151.5,80.51,76,99,15.79
29,Coquimbo,CL,2021-01-11 01:09:09,-29.9533,-71.3436,59.0,88,0,5.75
30,Nantucket,US,2021-01-11 01:20:19,41.2835,-70.0995,26.6,80,1,8.14
31,Kaitangata,NZ,2021-01-11 01:11:47,-46.2817,169.8464,60.01,53,100,8.99
32,Pasighat,IN,2021-01-11 01:20:19,28.0667,95.3333,62.4,69,92,0.98
33,Ayagoz,KZ,2021-01-11 01:20:19,47.9714,80.4392,9.64,88,100,5.79
34,Ushuaia,AR,2021-01-11 01:11:35,-54.8,-68.3,42.8,70,75,20.71
35,Otavi,NA,2021-01-11 01:20:19,-19.65,17.3333,66.76,83,100,9.91
36,Xifeng,CN,2021-01-11 01:20:19,42.7372,124.7222,5.86,87,100,4.97
37,Nagorsk,RU,2021-01-11 01:20:19,59.3172,50.8078,-3.93,89,100,11.18
38,Saint-Denis,FR,2021-01-11 01:19:41,48.9167,2.3333,33.01,93,0,1.14
39,Puerto Ayora,EC,2021-01-11 01:11:39,-0.7393,-90.3518,73.99,91,0,3.0
40,Port Alfred,ZA,2021-01-11 01:11:42,-33.5906,26.891,66.0,85,83,1.01
41,Norman Wells,CA,2021-01-11 01:11:49,65.282,-126.8329,6.8,92,75,3.44
42,Katsuura,JP,2021-01-11 01:11:54,35.1333,140.3,39.99,38,100,5.01
43,Butaritari,KI,2021-01-11 01:11:35,3.0707,172.7902,80.94,82,52,15.88
44,Olafsvik,IS,2021-01-11 01:11:44,64.8945,-23.7142,25.81,89,0,18.95
45,Severo-Kurilsk,RU,2021-01-11 01:11:46,50.6789,156.125,20.32,89,100,22.55
46,Kapaa,US,2021-01-11 01:06:59,22.0752,-159.319,78.8,73,40,13.8
47,Simian,RO,2021-01-11 01:20:20,44.6142,22.7072,34.65,93,100,12.44
48,Smolyaninovo,RU,2021-01-11 01:20:20,43.2956,132.4675,-0.4,71,0,2.24
49,Kudahuvadhoo,MV,2021-01-11 01:11:52,2.6708,72.8944,81.12,72,100,12.66
50,Atikokan,CA,2021-01-11 01:20:20,48.7555,-91.6216,23.7,96,100,9.06
51,Caravelas,BR,2021-01-11 01:11:50,-17.7125,-39.2481,76.91,87,21,6.87
52,Bethel,US,2021-01-11 01:11:45,41.3712,-73.414,28.99,68,1,3.94
53,Bheramara,BD,2021-01-11 01:20:20,24.0232,88.9925,65.5,66,79,5.08
54,Kalengwa,ZM,2021-01-11 01:20:20,-13.4659,25.0027,64.53,98,100,8.28
55,Klaksvik,FO,2021-01-11 01:20:20,62.2266,-6.589,30.2,69,75,13.8
56,Isangel,VU,2021-01-11 01:11:52,-19.55,169.2667,84.2,84,90,9.22
57,Chapais,CA,2021-01-11 01:11:44,49.7834,-74.8492,15.8,92,90,6.91
58,Xining,CN,2021-01-11 01:10:04,36.6167,101.7667,0.43,62,0,3.58
59,Pundaguitan,PH,2021-01-11 01:20:20,6.3711,126.1689,81.72,80,100,16.37
60,Komsomolskiy,UZ,2021-01-11 01:11:41,40.4272,71.7189,19.4,68,0,2.3
61,Saint-Leu,RE,2021-01-11 01:20:20,-21.15,55.2833,77.0,94,75,8.05
62,Saint-Philippe,RE,2021-01-11 01:11:34,-21.3585,55.7679,77.0,94,75,8.05
63,Sheridan,US,2021-01-11 01:20:20,44.8333,-106.9173,17.6,86,1,8.05
64,Castro,BR,2021-01-11 01:11:41,-24.7911,-50.0119,66.29,97,100,7.81
65,Kodiak,US,2021-01-11 01:11:38,57.79,-152.4072,39.2,81,90,9.22
66,Atuona,PF,2021-01-11 01:11:36,-9.8,-139.0333,77.74,80,100,13.82
67,Pevek,RU,2021-01-11 01:11:53,69.7008,170.3133,-26.73,87,100,3.56
68,Chuy,UY,2021-01-11 01:07:04,-33.6971,-53.4616,73.81,91,41,14.83
69,Peterhead,GB,2021-01-11 01:12:00,57.5058,-1.7981,41.0,87,100,8.05
70,Shar,KZ,2021-01-11 01:20:21,49.5886,81.0453,9.18,86,99,24.67
71,Hobart,AU,2021-01-11 01:06:51,-42.8794,147.3294,88.0,26,0,9.22
72,Venado Tuerto,AR,2021-01-11 01:20:20,-33.7456,-61.9688,79.0,56,3,3.0
73,Thompson,CA,2021-01-11 01:11:35,55.7435,-97.8558,10.4,92,1,3.44
74,Nouadhibou,MR,2021-01-11 01:12:01,20.931,-17.0347,62.6,72,24,19.57
75,Bonoua,CI,2021-01-11 01:20:21,5.2741,-3.595,80.6,94,20,4.61
76,Dwarka,IN,2021-01-11 01:11:50,22.2394,68.9678,67.01,56,0,16.04
77,Dunedin,NZ,2021-01-11 01:20:21,-45.8742,170.5036,59.92,56,83,10.33
78,High Level,CA,2021-01-11 01:20:21,58.5169,-117.136,8.6,100,1,2.3
79,Kawalu,ID,2021-01-11 01:20:21,-7.3817,108.2082,79.9,77,75,0.89
80,Loncoche,CL,2021-01-11 01:20:21,-39.3667,-72.6333,53.6,100,90,4.61
81,Port Macquarie,AU,2021-01-11 01:20:21,-31.4333,152.9167,82.0,48,77,1.01
82,Saskylakh,RU,2021-01-11 01:11:35,71.9167,114.0833,-8.48,87,100,16.8
83,Acari,PE,2021-01-11 01:20:21,-15.4311,-74.6158,71.46,70,100,3.91
84,Whitehorse,CA,2021-01-11 01:11:58,60.7161,-135.0538,30.2,80,90,21.85
85,Ponta Do Sol,PT,2021-01-11 01:11:40,32.6667,-17.1,52.0,68,3,1.99
86,Carnarvon,AU,2021-01-11 01:11:39,-24.8667,113.6333,82.4,57,0,20.71
87,Namibe,AO,2021-01-11 01:20:21,-15.1961,12.1522,69.84,72,11,5.48
88,Ugoofaaru,MV,2021-01-11 01:12:04,5.6667,73.0,81.21,73,100,7.76
89,Yellowknife,CA,2021-01-11 01:07:22,62.456,-114.3525,5.0,92,75,8.05
90,Waingapu,ID,2021-01-11 01:20:22,-9.6567,120.2641,83.86,70,99,0.76
91,Hermanus,ZA,2021-01-11 01:11:34,-34.4187,19.2345,63.0,82,21,1.99
92,Bagdarin,RU,2021-01-11 01:20:22,54.4333,113.6,-12.96,82,42,2.91
93,Saint Anthony,US,2021-01-11 01:11:43,45.0205,-93.218,25.0,100,1,4.88
94,Torbay,CA,2021-01-11 01:11:55,47.6666,-52.7314,33.01,100,90,26.46
95,Bluff,NZ,2021-01-11 01:11:35,-46.6,168.3333,61.0,61,93,15.99
96,Wageningen,NL,2021-01-11 01:20:22,51.9667,5.6667,39.0,93,90,10.36
97,Baton Rouge,US,2021-01-11 01:20:22,30.4508,-91.1545,43.0,75,90,8.05
98,Mataura,NZ,2021-01-11 01:11:39,-46.1927,168.8643,61.0,61,81,15.99
99,Bambous Virieux,MU,2021-01-11 01:11:36,-20.3428,57.7575,78.8,94,75,4.61
100,Vaini,TO,2021-01-11 01:11:37,-21.2,-175.2,84.2,79,75,10.36
101,Celestun,MX,2021-01-11 01:20:22,20.8667,-90.4,71.71,70,68,12.84
102,Georgetown,MY,2021-01-11 01:11:39,5.4112,100.3354,77.0,78,20,2.3
103,Pyu,MM,2021-01-11 01:20:22,18.4833,96.4333,70.38,85,33,6.26
104,Talnakh,RU,2021-01-11 01:07:26,69.4865,88.3972,-15.52,87,100,7.18
105,Okahandja,NA,2021-01-11 01:20:22,-21.9833,16.9167,64.99,94,100,4.61
106,Airai,TL,2021-01-11 01:11:52,-8.9266,125.4092,71.96,88,0,1.43
107,Alice Springs,AU,2021-01-11 01:12:14,-23.7,133.8833,89.6,31,0,10.36
108,Novoagansk,RU,2021-01-11 01:20:23,61.9449,76.6625,-26.39,86,0,7.05
109,Okitipupa,NG,2021-01-11 01:20:23,6.5047,4.7839,75.09,97,29,1.39
110,Channel-Port Aux Basques,CA,2021-01-11 01:20:23,47.5702,-59.1367,30.99,94,97,16.24
111,Mailsi,PK,2021-01-11 01:20:23,29.8003,72.1758,50.45,42,0,4.29
112,Guiratinga,BR,2021-01-11 01:20:23,-16.3494,-53.7583,76.17,81,63,1.77
113,Mount Isa,AU,2021-01-11 01:11:46,-20.7333,139.5,89.6,45,0,5.75
114,Charters Towers,AU,2021-01-11 01:20:23,-20.1,146.2667,81.23,69,79,12.03
115,Parati,BR,2021-01-11 01:20:23,-23.2178,-44.7131,76.23,85,100,2.19
116,Alugan,PH,2021-01-11 01:20:23,12.2188,125.4808,79.47,85,99,17.43
117,Coihaique,CL,2021-01-11 01:20:23,-45.5752,-72.0662,42.8,75,75,5.75
118,Vardo,NO,2021-01-11 01:11:55,70.3705,31.1107,19.58,95,100,24.23
119,Waitati,NZ,2021-01-11 01:20:23,-45.75,170.5667,63.0,49,76,6.71
120,Fairbanks,US,2021-01-11 01:11:14,64.8378,-147.7164,21.2,79,75,4.61
121,Khatanga,RU,2021-01-11 01:07:03,71.9667,102.5,-8.86,90,100,16.55
122,Jamestown,US,2021-01-11 01:11:34,42.097,-79.2353,27.0,93,1,4.61
123,Chokurdakh,RU,2021-01-11 01:11:44,70.6333,147.9167,-33.27,84,1,8.79
124,Manggar,ID,2021-01-11 01:12:14,-2.8833,108.2667,79.93,82,100,8.48
125,Valparaiso,CL,2021-01-11 01:18:29,-33.0393,-71.6273,66.2,55,0,9.22
126,Gravdal,NO,2021-01-11 01:20:23,68.1214,13.5031,31.35,90,25,15.59
127,Husavik,IS,2021-01-11 01:20:23,66.0449,-17.3389,17.6,73,90,5.75
128,Pangnirtung,CA,2021-01-11 01:11:49,66.1451,-65.7125,7.14,90,100,1.28
129,Sobolevo,RU,2021-01-11 01:20:24,54.4299,31.8996,8.53,96,98,2.95
130,Totskoye,RU,2021-01-11 01:20:24,52.5248,52.7623,9.95,95,45,5.39
131,Puerto Suarez,BO,2021-01-11 01:20:24,-18.95,-57.8,83.16,64,1,2.77
132,Coihueco,CL,2021-01-11 01:20:24,-36.6167,-71.8333,62.6,82,20,11.5
133,Porbandar,IN,2021-01-11 01:20:24,21.6422,69.6093,65.21,57,0,12.24
134,Sisimiut,GL,2021-01-11 01:11:49,66.9395,-53.6735,27.34,88,100,11.36
135,Cape Canaveral,US,2021-01-11 01:20:24,28.4058,-80.6048,55.4,87,75,6.91
136,Batagay,RU,2021-01-11 01:20:24,67.6333,134.6333,-32.73,82,70,3.31
137,Lebu,CL,2021-01-11 01:11:45,-37.6167,-73.65,56.03,87,95,6.62
138,Nemuro,JP,2021-01-11 01:12:11,43.3236,145.575,15.8,57,20,9.22
139,Tukrah,LY,2021-01-11 01:20:24,32.5341,20.5791,70.59,38,98,27.72
140,Ishigaki,JP,2021-01-11 01:08:07,24.3448,124.1572,62.6,63,75,14.97
141,Conde,BR,2021-01-11 01:20:25,-7.2597,-34.9075,78.8,78,20,5.75
142,Narsaq,GL,2021-01-11 01:11:40,60.9167,-46.05,42.8,31,90,23.02
143,Shingu,JP,2021-01-11 01:20:25,33.7333,135.9833,39.2,65,75,9.22
144,Cape Town,ZA,2021-01-11 01:11:31,-33.9258,18.4232,66.0,72,0,1.14
145,Ibra,OM,2021-01-11 01:17:29,22.6906,58.5334,44.02,61,0,3.65
146,Altay,CN,2021-01-11 01:20:25,47.8667,88.1167,4.96,80,99,1.41
147,Padang,ID,2021-01-11 01:19:53,-0.9492,100.3543,80.67,68,61,4.83
148,San Cristobal,VE,2021-01-11 01:11:58,7.7669,-72.225,65.91,90,58,2.13
149,Ponta Delgada,PT,2021-01-11 01:20:25,37.7333,-25.6667,55.4,94,75,9.22
150,Andenes,NO,2021-01-11 01:20:25,69.3143,16.1194,30.99,80,75,11.5
151,Boralday,KZ,2021-01-11 01:20:25,43.3578,76.8594,6.8,72,40,2.24
152,Qaanaaq,GL,2021-01-11 01:11:42,77.484,-69.3632,-0.69,73,0,4.94
153,Wewak,PG,2021-01-11 01:20:25,-3.5534,143.6268,85.55,68,100,5.5
154,Nikolskoye,RU,2021-01-11 01:11:48,59.7035,30.7861,3.99,78,0,8.95
155,Russkiy Kameshkir,RU,2021-01-11 01:20:25,52.8589,46.0892,11.89,96,89,5.99
156,Sabha,LY,2021-01-11 01:18:02,27.0377,14.4283,62.67,30,100,13.38
157,Zhigansk,RU,2021-01-11 01:12:13,66.7697,123.3711,-35.09,82,100,6.62
158,Borovoy,RU,2021-01-11 01:20:25,55.4333,86.0833,6.8,85,90,4.47
159,Biu,NG,2021-01-11 01:20:25,10.6129,12.1946,65.43,27,93,8.52
160,Ilulissat,GL,2021-01-11 01:11:55,69.2167,-51.1,21.2,68,75,2.17
161,Hamilton,US,2021-01-11 01:15:30,39.1834,-84.5333,30.99,80,1,1.7
162,Zonguldak,TR,2021-01-11 01:20:25,41.25,31.8333,48.42,87,100,4.36
163,Liverpool,GB,2021-01-11 01:11:36,53.4106,-2.9779,43.0,81,90,8.05
164,Ahipara,NZ,2021-01-11 01:11:37,-35.1667,173.1667,70.84,57,6,9.53
165,Tamale,GH,2021-01-11 01:16:03,9.4008,-0.8393,81.18,18,22,3.8
166,Nabire,ID,2021-01-11 01:20:26,-3.3667,135.4833,85.96,65,100,2.35
167,Ust-Kuyga,RU,2021-01-11 01:11:59,70.0167,135.6,-32.53,81,89,8.81
168,Aswan,EG,2021-01-11 01:20:26,24.0934,32.907,61.74,58,0,8.39
169,Cabo San Lucas,MX,2021-01-11 01:11:44,22.8909,-109.9124,68.0,73,1,9.22
170,Bengkulu,ID,2021-01-11 01:11:40,-3.8004,102.2655,78.96,79,100,3.53
171,Bredasdorp,ZA,2021-01-11 01:06:53,-34.5322,20.0403,62.6,82,77,4.61
172,Ribeira Grande,PT,2021-01-11 01:11:58,38.5167,-28.7,62.6,90,100,10.04
173,Erzin,TR,2021-01-11 01:20:26,36.9559,36.2,44.6,93,40,2.3
174,Yerbogachen,RU,2021-01-11 01:11:48,61.2767,108.0108,-18.45,87,100,6.35
175,Lashio,MM,2021-01-11 01:20:26,22.9333,97.75,56.79,92,1,1.03
176,Fortuna,US,2021-01-11 01:11:46,40.5982,-124.1573,54.0,87,1,1.19
177,Houma,US,2021-01-11 01:20:26,29.5958,-90.7195,43.0,75,90,11.5
178,Road Town,VG,2021-01-11 01:16:41,18.4167,-64.6167,78.8,83,20,11.5
179,Yaan,NG,2021-01-11 01:20:26,7.3833,8.5667,75.24,46,0,4.03
180,Tazlar,HU,2021-01-11 01:20:26,46.5482,19.5144,32.0,86,100,6.91
181,La Ronge,CA,2021-01-11 01:11:43,55.1001,-105.2842,23.0,74,100,2.3
182,Buala,SB,2021-01-11 01:20:26,-8.145,159.5921,82.15,78,100,6.17
183,Puerto Quijarro,BO,2021-01-11 01:20:26,-17.7833,-57.7667,81.91,65,0,1.68
184,Oyama,JP,2021-01-11 01:12:11,36.3,139.8,36.0,59,75,8.05
185,Hithadhoo,MV,2021-01-11 01:11:36,-0.6,73.0833,81.0,76,100,15.86
186,Namatanai,PG,2021-01-11 01:12:00,-3.6667,152.4333,86.56,63,30,1.45
187,Mandalgovi,MN,2021-01-11 01:20:26,45.7625,106.2708,-1.41,80,98,11.07
188,Cidreira,BR,2021-01-11 01:11:12,-30.1811,-50.2056,76.95,81,67,22.32
189,Yecla,ES,2021-01-11 01:20:27,38.6137,-1.1147,37.99,86,25,4.36
190,Sur,OM,2021-01-11 01:20:27,22.5667,59.5289,64.96,46,0,12.37
191,Evensk,RU,2021-01-11 01:20:27,61.95,159.2333,6.66,92,100,18.14
192,Ostrovnoy,RU,2021-01-11 01:17:20,68.0531,39.5131,6.15,93,21,12.01
193,Upernavik,GL,2021-01-11 01:11:26,72.7868,-56.1549,10.49,86,100,13.06
194,Kavieng,PG,2021-01-11 01:12:03,-2.5744,150.7967,85.33,65,98,1.68
195,Raudeberg,NO,2021-01-11 01:20:27,61.9875,5.1352,30.99,94,100,19.37
196,Goderich,CA,2021-01-11 01:20:27,43.7501,-81.7165,30.2,74,98,8.05
197,Gorontalo,ID,2021-01-11 01:12:11,0.5412,123.0595,86.45,62,0,2.19
198,Katangli,RU,2021-01-11 01:11:57,51.7102,143.2326,-8.39,84,83,12.15
199,Oranjemund,NA,2021-01-11 01:20:27,-28.55,16.4333,61.63,85,1,13.42
200,Tocopilla,CL,2021-01-11 01:20:27,-22.092,-70.1979,68.79,68,47,10.25
201,Pochutla,MX,2021-01-11 01:20:27,15.7432,-96.4661,75.2,78,40,2.33
202,Provideniya,RU,2021-01-11 01:11:36,64.3833,-173.3,-4.0,71,0,2.24
203,Leningradskiy,RU,2021-01-11 01:11:37,69.3833,178.4167,-21.89,83,93,9.4
204,Minab,IR,2021-01-11 01:15:51,27.1467,57.0801,42.8,22,0,4.61
205,Dingle,PH,2021-01-11 01:20:27,10.9995,122.6711,75.06,91,100,12.93
206,Nanortalik,GL,2021-01-11 01:11:45,60.1432,-45.2371,32.2,93,100,3.06
207,Broome,US,2021-01-11 01:20:28,42.2506,-75.833,24.01,86,1,6.91
208,Nuuk,GL,2021-01-11 01:20:28,64.1835,-51.7216,33.8,93,90,31.07
209,Tuatapere,NZ,2021-01-11 01:11:55,-46.1333,167.6833,61.0,61,100,15.99
210,Prescott,US,2021-01-11 01:20:14,34.54,-112.4685,44.01,24,1,1.92
211,San Quintin,MX,2021-01-11 01:20:28,30.4833,-115.95,61.38,55,6,7.85
212,Seoul,KR,2021-01-11 01:20:06,37.5683,126.9778,19.4,68,100,3.44
213,Lasa,IT,2021-01-11 01:11:36,46.6166,10.7002,19.0,77,0,6.06
214,Iqaluit,CA,2021-01-11 01:08:26,63.7506,-68.5145,1.4,71,75,12.66
215,Aksu,CN,2021-01-11 01:20:28,41.1231,80.2644,6.8,80,0,1.97
216,Malartic,CA,2021-01-11 01:20:28,48.1335,-78.1328,8.6,100,20,3.44
217,Cherskiy,RU,2021-01-11 01:11:37,68.75,161.3,-34.74,83,61,1.61
218,Mar Del Plata,AR,2021-01-11 01:09:16,-38.0023,-57.5575,71.01,88,90,16.11
219,Ancud,CL,2021-01-11 01:11:38,-41.8697,-73.8203,46.0,87,75,3.44
220,Mareeba,AU,2021-01-11 01:20:28,-17.0,145.4333,87.8,66,40,4.61
221,Amga,RU,2021-01-11 01:20:28,60.8953,131.9608,-40.18,79,99,0.85
222,Ixtapa,MX,2021-01-11 01:17:17,20.7,-105.2,69.8,83,1,6.91
223,Vestmannaeyjar,IS,2021-01-11 01:11:55,63.4427,-20.2734,29.17,83,0,5.14
224,Carora,VE,2021-01-11 01:20:28,10.1755,-70.0827,74.59,76,39,10.0
225,Mwanza,TZ,2021-01-11 01:20:28,-2.5167,32.9,66.72,82,71,1.7
226,Kaili,ID,2021-01-11 01:20:28,-3.4626,120.2147,77.68,76,12,2.04
227,Puerto Escondido,MX,2021-01-11 01:20:28,15.85,-97.0667,75.2,78,40,2.51
228,Pontes E Lacerda,BR,2021-01-11 01:20:28,-15.2261,-59.3353,78.4,73,99,2.84
229,Dikson,RU,2021-01-11 01:11:39,73.5069,80.5464,21.33,98,100,17.11
230,Narasannapeta,IN,2021-01-11 01:20:29,18.4167,84.05,67.41,82,0,4.52
231,Lagoa,PT,2021-01-11 01:11:54,39.05,-27.9833,61.0,93,12,10.42
232,Quelimane,MZ,2021-01-11 01:20:29,-17.8786,36.8883,80.6,83,0,3.44
233,Dicabisagan,PH,2021-01-11 01:20:29,17.0818,122.4157,70.54,78,100,10.51
234,Cockburn Town,TC,2021-01-11 01:11:53,21.4612,-71.1419,77.0,78,40,11.5
235,Izhevskoye,RU,2021-01-11 01:20:29,54.5567,40.8703,5.07,95,84,5.64
236,Atambua,ID,2021-01-11 01:20:29,-9.1061,124.8925,82.96,74,0,2.46
237,Kawerau,NZ,2021-01-11 01:20:29,-38.1,176.7,87.01,30,0,4.0
238,Bilma,NE,2021-01-11 01:11:40,18.6853,12.9164,68.4,23,0,8.57
239,Paracuru,BR,2021-01-11 01:20:29,-3.41,-39.0306,81.0,74,5,14.0
240,Lazaro Cardenas,MX,2021-01-11 01:12:06,17.9583,-102.2,75.52,77,85,4.76
241,Luderitz,NA,2021-01-11 01:12:03,-26.6481,15.1594,66.58,69,5,23.58
242,Simao,CN,2021-01-11 01:20:29,22.7886,100.9748,50.79,88,100,2.95
243,Port Elizabeth,ZA,2021-01-11 01:11:37,-33.918,25.5701,68.0,77,75,6.91
244,New Norfolk,AU,2021-01-11 01:11:34,-42.7826,147.0587,88.0,18,85,4.0
245,Kabwe,ZM,2021-01-11 01:20:29,-14.4469,28.4464,66.07,96,100,3.94
246,Temirtau,KZ,2021-01-11 01:19:33,50.0544,72.9483,10.4,61,0,8.95
247,Asau,RO,2021-01-11 01:12:06,46.4333,26.4,30.2,100,90,8.05
248,Neuquen,AR,2021-01-11 01:20:30,-38.9516,-68.0591,71.6,40,0,11.5
249,Zhucheng,CN,2021-01-11 01:20:30,35.9947,119.3975,24.49,81,100,5.86
250,Beyneu,KZ,2021-01-11 01:11:58,45.3167,55.2,30.15,88,87,6.78
251,Staryy Nadym,RU,2021-01-11 01:20:30,65.6118,72.6842,-26.66,84,1,4.29
252,Sinjai,ID,2021-01-11 01:12:08,-5.1241,120.253,84.78,71,100,1.23
253,Codrington,AU,2021-01-11 01:11:39,-38.2667,141.9667,90.3,24,100,19.71
254,Baixa Grande,BR,2021-01-11 01:20:30,-11.9597,-40.1681,74.57,80,4,6.13
255,Touros,BR,2021-01-11 01:11:43,-5.1989,-35.4608,80.6,74,40,8.05
256,Havre-Saint-Pierre,CA,2021-01-11 01:11:43,50.2334,-63.5986,6.8,85,1,2.3
257,Jieshi,CN,2021-01-11 01:20:30,22.8134,115.8257,48.0,50,100,1.01
258,Burnie,AU,2021-01-11 01:20:30,-41.0667,145.9167,75.0,52,94,8.99
259,Kaeo,NZ,2021-01-11 01:11:56,-35.1,173.7833,78.01,50,0,5.99
260,Noumea,NC,2021-01-11 01:11:30,-22.2763,166.4572,89.6,70,90,9.22
261,Aklavik,CA,2021-01-11 01:11:42,68.2191,-135.0107,8.6,85,75,2.3
262,Athy,IE,2021-01-11 01:20:30,52.9914,-6.9803,42.01,90,100,3.0
